caffeine_mg,age,focus_level,sleep_quality,sleep_impacted,beverage_coffee,beverage_energy_drink,beverage_tea,time_of_day_afternoon,time_of_day_evening,time_of_day_morning,gender_female,gender_male
0.45454545454545453,1.0,0.7153838753530578,0.7497902256379072,1,True,False,False,False,True,False,True,False
0.2863636363636364,0.8333333333333334,0.8464705671377484,0.7300604372928656,0,True,False,False,False,False,True,True,False
0.5318181818181819,0.47619047619047616,0.6656393793102193,0.27659968238282984,1,False,True,False,False,False,True,False,True
0.06818181818181818,0.6428571428571429,0.75136380777383,0.6540029372571153,0,False,False,True,False,False,True,True,False
0.4090909090909091,0.047619047619047616,0.8081035010522484,0.7097349724878612,1,True,False,False,False,True,False,False,True
0.21818181818181817,0.30952380952380953,0.6639116083974127,0.2387831487590935,1,True,False,False,False,True,False,True,False
0.15454545454545454,0.16666666666666666,0.903945359618058,0.5973945437536222,0,False,False,True,True,False,False,False,True
0.42272727272727273,0.9761904761904762,0.8766500091629923,0.5851562350911674,1,True,False,False,True,False,False,True,False
0.24545454545454545,0.7142857142857143,0.6334100649986062,0.0979235126310447,1,True,False,False,False,True,False,True,False
0.45,0.5952380952380952,0.7246533466807257,0.3985250544599038,1,True,False,False,False,True,False,False,True
0.10454545454545454,0.14285714285714285,0.8438533939604049,0.6366599164275087,0,False,False,True,False,False,True,False,True
0.2590909090909091,0.9761904761904762,0.8754711004956235,0.5457203972464129,1,False,False,True,True,False,False,False,True
0.5772727272727273,0.5238095238095238,0.7170228247847904,0.48664176506435575,1,True,False,False,False,False,True,True,False
0.0,0.30952380952380953,0.5385521708845213,0.6445129549570093,0,False,False,True,False,False,True,False,True
0.5272727272727272,0.5952380952380952,0.9545319788592079,0.5432054091232121,1,True,False,False,True,False,False,True,False
0.17272727272727273,0.8571428571428571,0.631879792477864,0.8429639104714033,0,False,False,True,True,False,False,False,True
0.4772727272727273,0.5,0.8306936469642165,0.3196709680582899,1,True,False,False,False,False,True,True,False
0.4590909090909091,0.4523809523809524,0.8046407085714633,0.31765912434539056,1,True,False,False,False,False,True,True,False
0.19090909090909092,0.2857142857142857,0.3153441916763928,0.43546564018053413,1,True,False,False,False,False,True,False,True
0.44545454545454544,0.5476190476190477,1.0,0.7718222266039798,0,True,False,False,False,False,True,False,True
0.35454545454545455,0.2619047619047619,0.68230692897376,0.6259267275746012,0,True,False,False,False,True,False,True,False
0.42272727272727273,0.023809523809523808,1.0,0.12536619517302833,1,True,False,False,True,False,False,True,False
0.022727272727272728,0.5952380952380952,0.8874939925401286,0.8439916290858467,0,False,False,True,True,False,False,True,False
